Manufacturer,Model,Gen.,Year,Year-Format,Width,Height,Cells,Type,Velocity,Display,Add. Buttons,Add. Misc UI,Tesselation
Yaeltex,V2,1,2020,2020-01-01,16,16,256,Controller,No,No,Yes,Yes,r
maono,MAONOCASTER,1,2020,2020-01-01,2,4,8,Controller,No,No,Yes,Yes,r
alter.audio,Timetosser,1,2020,2020-01-01,8,2,16,Instrument,,No,No,No,r
Reloop,Neon,1,2014,2014-01-01,4,2,8,Controller,Yes,No,Yes,Yes,r
Reloop,Beatmix 2,2,2016,2016-01-01,4,2,8,Controller,Yes,No,Yes,Yes,r
Reloop,Beatmix 4,2,2016,2016-01-01,4,2,8,Controller,Yes,No,Yes,Yes,r
Reloop,Beatpad 2,1,2015,2015-01-01,4,2,8,Controller,Yes,No,Yes,Yes,r
Reloop,Mixon 4,1,2016,2016-01-01,4,2,8,Controller,Yes,No,Yes,Yes,r
Reloop,Touch,1,2018,2018-01-01,4,2,8,Controller,Yes,Yes,Yes,Yes,r
Reloop,Buddy,1,2020,2020-01-01,4,2,8,Controller,Yes,No,Yes,Yes,r
Reloop,Elite,1,2019,2019-01-01,4,2,8,Mixer,Yes,Yes,Yes,Yes,r
ThinkGeek,Bliptronic 5000,1,2009,2009-01-01,8,8,64,Instrument,No,No,Yes,Yes,r
Machinewerks,CS X51,1,2014,2014-01-01,6,4,24,Controller,No,No,No,Yes,r
Misa,NSC16,1,2015,2015-01-01,16,16,256,Controller,No,No,Yes,Yes,r
Misa,NSC32,1,2015,2015-01-01,32,16,512,Controller,No,No,Yes,Yes,r
Starr Labs,Clipper,1,2013,2013-01-01,24,6,144,Controller,Yes,No,No,Yes,r
Rode,RodeCaster Pro,1,2018,2018-01-01,2,4,8,Controller,No,Yes,Yes,Yes,r
TKRworks,PICratchBOX,1,2011,2011-01-01,4,4,16,Mixer,No,No,Yes,Yes,r
MFB,Step 64,1,2009,2009-01-01,8,2,16,Sequencer,No,Yes,Yes,Yes,r
ACL,P2B8,1,2020,2020-01-01,2,4,8,Controller,No,No,No,Yes,r
Waldorf,Iridium,1,2020,2020-01-01,4,4,16,Instrument,,Yes,Yes,Yes,r
Squarp,Paramid,1,2017,2017-01-01,8,2,16,Sequencer,No,Yes,Yes,Yes,r
Squarp,Paramid,2,2018,2018-01-01,8,2,16,Sequencer,No,Yes,Yes,Yes,r
Squarp,Paramid,3,2019,2019-01-01,8,2,16,Sequencer,No,Yes,Yes,Yes,r
Soundwell,Dek,1,2018,2018-01-01,20,10,200,Controller,Yes,No,Yes,No,r
GODJ,Plus,1,2016,2016-01-01,4,2,8,Mixer,No,Yes,Yes,Yes,r
Zoom,PodTrak P8,1,2020,2020-01-01,3,3,9,mixer,,,,,r
DASZ,ALEX Main,1,2018,2018-01-01,4,2,8,Instrument,No,Yes,Yes,Yes,r
DASZ,ALEX Expand,1,2018,2018-01-01,4,2,8,Controller,No,Yes,Yes,Yes,r
KALO,Dark Fire Pad,1,2020,2020-01-01,2,4,8,Controller,,No,Yes,Yes,r
OXI Instruments,OXI ONE,1,2020,2020-01-01,16,8,128,Sequencer,No,Yes,Yes,Yes,r
Acid Rain,Maestro,1,2020,2020-01-01,7,4,28,Controller,No,No,No,No,r
